Gene ID,0.5_lowLight,2_lowLight,4_lowLight,6_lowLight,8_lowLight,9_lowLight,10_lowLight,12_lowLight,0.5_ClearLight,2_ClearLight,4_ClearLight,6_ClearLight,8_ClearLight,9_ClearLight,10_ClearLight,12_ClearLight
 Synpcc7942_0093 ,0.27,0.28,0.22,0.22,0.24,0.23,0.28,0.23,0.35,0.25,0.20,0.22,0.19,0.18,0.19,0.26
 Synpcc7942_0094 ,0.11,0.06,0.04,0.04,0.05,0.05,0.05,0.06,0.12,0.07,0.05,0.06,0.06,0.04,0.04,0.05
 Synpcc7942_0095 ,1.36,2.92,3.60,6.29,6.05,4.57,3.55,3.29,0.92,1.15,1.82,3.35,3.61,3.74,3.33,2.04
 Synpcc7942_0096 ,0.07,0.14,0.22,0.39,0.40,0.34,0.28,0.26,0.07,0.05,0.05,0.09,0.24,0.33,0.42,0.77
 Synpcc7942_0097 ,0.12,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.12,0.10,0.09,0.09,0.08,0.07,0.06,0.06
 Synpcc7942_0098 ,1.17,1.41,1.37,1.33,1.03,1.11,1.24,1.24,0.98,1.60,1.49,1.48,1.20,1.12,1.11,1.74
 Synpcc7942_0099 ,0.27,0.38,0.42,0.35,0.37,0.31,0.36,0.34,0.23,0.38,0.30,0.42,0.38,0.36,0.30,0.49
 Synpcc7942_0100 ,0.09,0.10,0.14,0.26,0.62,0.84,0.86,0.60,0.05,0.03,0.05,0.08,0.11,0.21,0.59,2.66
 Synpcc7942_0101 ,2.46,1.94,1.51,1.49,1.42,1.45,1.38,1.32,3.02,2.36,2.01,1.67,1.25,1.21,1.34,0.97
 Synpcc7942_0102 ,0.92,0.58,0.50,0.61,0.85,0.87,0.81,0.72,1.19,0.70,0.60,0.48,0.52,0.60,0.71,1.25
 Synpcc7942_0103 ,0.10,0.09,0.05,0.07,0.11,0.10,0.07,0.03,0.21,0.09,0.05,0.09,0.06,0.06,0.06,0.08
 Synpcc7942_0104 ,0.22,0.19,0.17,0.19,0.15,0.15,0.15,0.11,0.42,0.16,0.13,0.16,0.19,0.22,0.21,0.15
 Synpcc7942_0105 ,0.16,0.12,0.11,0.10,0.09,0.10,0.10,0.11,0.28,0.12,0.10,0.11,0.11,0.10,0.10,0.09
 Synpcc7942_0106 ,0.23,0.14,0.10,0.12,0.16,0.16,0.15,0.10,0.40,0.14,0.15,0.14,0.19,0.16,0.16,0.22
 Synpcc7942_0107 ,0.29,0.22,0.17,0.17,0.21,0.20,0.22,0.22,0.50,0.16,0.13,0.13,0.19,0.20,0.21,0.45
 Synpcc7942_0108 ,0.04,0.08,0.08,0.11,0.06,0.08,0.05,0.06,0.02,0.04,0.07,0.08,0.12,0.04,0.07,0.05
 Synpcc7942_0109 ,0.69,0.77,1.02,1.16,1.42,1.32,1.29,1.15,0.57,0.60,0.74,0.85,1.23,1.43,1.57,2.16
 Synpcc7942_0110 ,0.41,0.53,0.55,0.73,0.89,0.96,0.78,0.74,0.36,0.42,0.53,0.57,0.65,0.88,0.96,1.29
 Synpcc7942_0111 ,0.15,0.16,0.11,0.12,0.14,0.19,0.16,0.17,0.13,0.15,0.13,0.13,0.12,0.13,0.14,0.27
 Synpcc7942_0112 ,0.15,0.11,0.12,0.09,0.07,0.06,0.07,0.07,0.08,0.16,0.14,0.15,0.12,0.09,0.07,0.05
 Synpcc7942_0113 ,0.07,0.24,0.30,0.19,0.18,0.16,0.10,0.16,0.22,0.25,0.17,0.16,0.17,0.16,0.24,0.04
 Synpcc7942_0114 ,3.32,4.96,3.81,3.33,2.79,3.04,3.01,2.95,3.30,5.20,4.64,4.43,3.65,3.12,2.93,1.66
 Synpcc7942_0115 ,0.07,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0.21,0.01,0.01,0.02,0.01,0.03,0.02,0.02
 Synpcc7942_0116 ,0.07,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.07,0.02,0.03,0.03,0.03,0.05,0.05,0.08
 Synpcc7942_0117 ,0.03,0.04,0.07,0.07,0.09,0.05,0.07,0.02,0.16,0.05,0.04,0.05,0.09,0.12,0.11,0.13
 Synpcc7942_0118 ,1.67,1.98,1.60,1.61,1.54,1.68,1.74,1.75,1.93,2.28,2.17,2.05,1.88,1.91,1.83,2.26
 Synpcc7942_0119 ,0.63,0.18,0.19,0.11,0.03,0.02,0.02,0.03,1.37,0.59,0.36,0.09,0.08,0.05,0.03,0.01
 Synpcc7942_0120 ,0.18,0.10,0.10,0.06,0.05,0.07,0.07,0.06,0.22,0.08,0.05,0.05,0.07,0.03,0.08,0.05
 Synpcc7942_0121 ,0.05,0.09,0.10,0.07,0.08,0.11,0.10,0.10,0.04,0.08,0.06,0.07,0.06,0.06,0.07,0.13
 Synpcc7942_0122 ,0.05,0.07,0.09,0.10,0.11,0.11,0.13,0.06,0.11,0.08,0.07,0.12,0.13,0.16,0.19,0.22
 Synpcc7942_0123 ,0.03,0.09,0.02,0.15,0.05,0.05,0.05,0.10,0.08,0.07,0.02,0.11,0.03,0.03,0.09,0.07
 Synpcc7942_0124 ,0.63,0.49,0.41,0.43,0.56,0.71,0.77,0.71,0.66,0.59,0.62,0.49,0.46,0.51,0.64,0.80
 Synpcc7942_0125 ,1.54,1.54,1.17,1.23,1.38,1.77,1.91,1.61,1.61,2.03,1.88,1.69,1.48,1.45,1.82,2.49
 Synpcc7942_0126 ,1.06,1.34,1.27,0.93,0.60,0.84,0.98,0.84,0.75,2.08,1.75,1.42,1.06,0.83,0.74,0.35
 Synpcc7942_0127 ,1.89,0.97,1.06,0.95,0.66,0.59,0.62,0.62,3.59,0.67,1.36,1.51,0.94,0.99,0.84,0.34
 Synpcc7942_0128 ,0.33,0.33,0.35,0.41,0.59,0.54,0.48,0.47,0.48,0.28,0.30,0.32,0.39,0.42,0.42,0.74
 Synpcc7942_0129 ,0.22,0.24,0.23,0.23,0.25,0.25,0.24,0.35,0.26,0.20,0.20,0.19,0.22,0.25,0.23,0.20
 Synpcc7942_0130 ,0.44,0.56,0.65,1.06,1.43,1.36,1.20,1.14,0.36,0.24,0.35,0.48,1.06,1.41,1.37,1.31
 Synpcc7942_0131 ,0.07,0.09,0.10,0.13,0.10,0.12,0.13,0.09,0.12,0.10,0.10,0.11,0.12,0.13,0.13,0.14
 Synpcc7942_0132 ,0.03,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.04,0.05
 Synpcc7942_0133 ,0.29,0.41,0.39,0.37,0.43,0.40,0.40,0.48,0.32,0.33,0.26,0.28,0.33,0.32,0.44,0.64
 Synpcc7942_0134 ,0.25,0.50,0.44,0.44,0.42,0.43,0.38,0.42,0.26,0.42,0.44,0.43,0.50,0.45,0.44,0.34
 Synpcc7942_0135 ,0.15,0.15,0.15,0.14,0.13,0.17,0.13,0.12,0.19,0.09,0.15,0.11,0.11,0.11,0.10,0.11
 Synpcc7942_0136 ,0.15,0.13,0.14,0.12,0.12,0.14,0.13,0.15,0.15,0.08,0.09,0.09,0.10,0.08,0.10,0.17
 Synpcc7942_0137 ,1.40,2.00,1.68,1.65,1.62,1.81,1.96,1.98,1.60,1.91,1.96,1.85,1.76,1.83,1.90,2.57
 Synpcc7942_0138 ,0.34,0.64,1.08,1.70,1.61,1.02,0.66,0.63,0.16,0.67,0.72,0.93,1.43,1.45,1.17,0.39
 Synpcc7942_0139 ,3.02,5.17,4.91,5.74,5.85,5.46,4.91,4.67,2.92,3.96,3.82,3.79,4.33,4.98,5.43,9.68
 Synpcc7942_0140 ,0.95,0.73,0.66,0.68,0.64,0.81,0.77,0.69,0.96,0.77,0.78,0.76,0.66,0.72,0.63,0.78
 Synpcc7942_0141 ,0.77,0.95,0.86,0.87,0.70,0.75,0.82,0.84,0.68,1.22,1.12,1.12,0.96,0.81,0.85,0.45
 Synpcc7942_0142 ,1.04,1.31,1.12,1.04,0.88,0.93,0.96,1.14,0.88,1.50,1.41,1.32,1.16,1.00,0.91,0.52
 Synpcc7942_0143 ,1.67,2.23,1.97,2.11,2.10,2.04,2.09,2.04,1.60,2.78,2.41,2.42,2.21,2.14,2.00,2.66
 Synpcc7942_0144 ,0.29,0.21,0.23,0.25,0.25,0.19,0.22,0.20,0.44,0.24,0.29,0.24,0.31,0.31,0.25,0.26
 Synpcc7942_0145 ,0.43,0.50,0.31,0.30,0.24,0.40,0.32,0.29,0.47,0.52,0.41,0.35,0.31,0.30,0.35,0.33
 Synpcc7942_0146 ,0.18,0.17,0.14,0.12,0.17,0.15,0.16,0.17,0.22,0.11,0.11,0.12,0.16,0.16,0.14,0.24
 Synpcc7942_0147 ,0.36,0.30,0.31,0.29,0.52,0.55,0.48,0.53,0.70,0.24,0.21,0.26,0.35,0.42,0.52,2.11
 Synpcc7942_0148 ,0.14,0.25,0.23,0.25,0.39,0.48,0.51,0.38,0.19,0.35,0.28,0.30,0.28,0.33,0.46,0.80
 Synpcc7942_0149 ,0.21,0.15,0.14,0.14,0.11,0.09,0.11,0.15,0.22,0.17,0.16,0.12,0.13,0.10,0.08,0.10
 Synpcc7942_0150 ,0.22,0.22,0.22,0.20,0.14,0.14,0.13,0.18,0.14,0.18,0.18,0.18,0.15,0.13,0.12,0.08
 Synpcc7942_0151 ,0.31,0.30,0.28,0.33,0.32,0.27,0.27,0.26,0.25,0.18,0.17,0.18,0.22,0.25,0.28,0.32
 Synpcc7942_0152 ,1.37,1.25,1.18,1.27,1.15,1.27,1.36,1.17,1.04,2.08,1.62,1.42,1.33,1.20,1.18,0.74
 Synpcc7942_0153 ,2.56,2.54,2.22,2.42,2.22,2.28,2.49,2.31,1.78,3.98,2.79,2.90,2.66,2.17,2.24,1.40
 Synpcc7942_0154 ,0.25,0.20,0.22,0.21,0.21,0.20,0.23,0.25,0.18,0.18,0.14,0.14,0.12,0.15,0.19,0.23
 Synpcc7942_0155 ,0.13,0.06,0.09,0.13,0.11,0.08,0.09,0.11,0.11,0.10,0.08,0.09,0.05,0.04,0.05,0.12
 Synpcc7942_0156 ,0.47,0.64,0.84,0.92,0.67,0.50,0.52,0.48,0.50,0.50,0.63,0.82,0.77,0.75,0.63,0.32
 Synpcc7942_0157 ,0.32,0.59,1.17,3.69,5.44,3.96,2.78,2.60,0.36,0.24,0.48,0.92,2.49,3.34,3.03,1.79
 Synpcc7942_0158 ,2.60,2.22,1.91,2.04,1.83,1.99,2.38,2.27,3.41,4.44,3.64,3.60,3.08,3.02,2.84,1.60
 Synpcc7942_0159 ,0.10,0.08,0.08,0.07,0.09,0.08,0.09,0.09,0.13,0.06,0.08,0.06,0.09,0.10,0.10,0.09
 Synpcc7942_0160 ,0.20,0.13,0.16,0.16,0.33,0.44,0.49,0.39,0.22,0.18,0.18,0.17,0.20,0.23,0.35,0.81
 Synpcc7942_0161 ,0.50,1.02,0.84,0.74,0.66,0.75,0.69,0.74,0.54,1.03,0.91,0.80,0.68,0.66,0.64,0.51
 Synpcc7942_0162 ,0.30,0.58,0.50,0.66,0.69,0.60,0.55,0.62,0.31,0.45,0.54,0.52,0.63,0.75,0.73,1.20
 Synpcc7942_0163 ,0.17,0.28,0.27,0.36,0.48,0.40,0.29,0.27,0.20,0.24,0.24,0.28,0.45,0.52,0.52,0.78
 Synpcc7942_0164 ,1.09,1.23,0.92,1.14,1.50,1.64,1.64,1.28,1.39,1.15,0.97,0.99,1.14,1.22,1.53,3.50
 Synpcc7942_0165 ,1.06,0.65,0.63,0.69,0.89,1.02,1.05,1.12,1.10,0.77,0.66,0.67,0.74,0.80,0.86,0.91
 Synpcc7942_0166 ,0.98,0.83,0.65,0.76,1.08,1.11,1.13,1.10,1.29,0.93,0.94,0.86,0.81,0.86,1.08,0.85
 Synpcc7942_0167 ,1.04,1.19,1.25,1.00,0.64,0.56,0.58,0.57,0.76,0.71,0.79,1.07,0.81,0.87,0.67,0.35
 Synpcc7942_0168 ,0.70,1.57,2.00,2.15,1.99,1.54,1.34,1.37,0.62,1.13,1.40,1.51,1.89,1.83,1.70,2.17
 Synpcc7942_0169 ,2.57,1.57,1.08,0.68,0.74,1.00,1.14,0.94,5.58,2.11,1.46,0.89,0.70,0.76,1.03,1.66
 Synpcc7942_0170 ,0.33,0.27,0.25,0.28,0.31,0.37,0.28,0.36,0.25,0.29,0.22,0.30,0.37,0.30,0.34,0.40
 Synpcc7942_0171 ,0.37,0.44,0.48,0.49,0.42,0.41,0.40,0.42,0.26,0.51,0.51,0.55,0.56,0.46,0.42,0.28
 Synpcc7942_0172 ,0.40,0.35,0.42,0.40,0.32,0.33,0.37,0.36,0.25,0.44,0.45,0.48,0.41,0.40,0.30,0.17
 Synpcc7942_0173 ,0.11,0.11,0.16,0.11,0.07,0.06,0.06,0.09,0.07,0.14,0.15,0.13,0.10,0.08,0.05,0.03
 Synpcc7942_0174 ,0.12,0.13,0.11,0.13,0.07,0.08,0.09,0.11,0.10,0.10,0.11,0.12,0.11,0.09,0.08,0.07
 Synpcc7942_0175 ,0.25,0.21,0.16,0.16,0.12,0.13,0.15,0.22,0.17,0.23,0.17,0.20,0.14,0.09,0.10,0.10
 Synpcc7942_0176 ,0.62,0.42,0.36,0.51,0.55,0.53,0.56,0.57,0.86,0.35,0.37,0.36,0.41,0.55,0.56,1.27
 Synpcc7942_0177 ,0.15,0.22,0.21,0.18,0.15,0.16,0.18,0.14,0.31,0.17,0.22,0.18,0.17,0.17,0.15,0.19
 Synpcc7942_0178 ,0.23,0.34,0.27,0.23,0.23,0.24,0.22,0.25,0.39,0.25,0.28,0.24,0.24,0.28,0.25,0.39
 Synpcc7942_0179 ,0.10,0.10,0.14,0.11,0.09,0.06,0.11,0.04,0.11,0.04,0.06,0.08,0.09,0.08,0.07,0.06
 Synpcc7942_0180 ,0.07,0.16,0.26,0.32,0.51,0.26,0.56,0.10,0.29,0.21,0.20,0.27,0.45,0.59,0.66,1.41
 Synpcc7942_0181 ,0.08,0.28,0.48,0.47,0.71,0.44,0.81,0.15,0.35,0.34,0.31,0.42,0.66,0.93,1.03,2.49
